Fund,Safety Rating,Annual Expense Ratio Percentaje,Return Percentaje
Accessor Internatl Equity "Adv",7.1,1.59,49
Aetna "I" International,7.2,1.35,52
Amer Century Intl Discovery "Inv",6.8,1.68,89
Columbia International Stock,7.1,1.56,58
Concert Inv "A" Internatl Equity,6.2,2.16,131
Dreyfus Founders Intl Equity "F",7.4,1.8,59
Driehaus International Growth,6.5,1.88,99
Excelsior "Inst" Internatl Equity,7,0.9,53
Julius Baer International Equity,6.9,1.79,77
Marshall International Stock "Y",7.2,1.49,54
MassMutual Internatl Equity "S",7.1,1.05,57
Morgan Grenfell Intl Sm Cap "Inst",7.7,1.25,61
New England "A" Internatl Equity,7,1.83,88
Pilgrim Internatl Small Cap "A",7,1.94,122
Republic International Equity,7.2,1.09,71
Sit International Growth,6.9,1.5,51
Smith Barney "A" Internatl Equity,7,1.28,60
State St Research "S" Intl Equity,7.1,1.65,50
Strong International Stock,6.5,1.61,93
Vontobel International Equity,7,1.5,47
